"MSOA","Sex","Age","Ethnicity","Persons"
"E02000869","F","15","WBI",7
"E02000869","F","15","MIX",1
"E02000869","F","15","BAN",12
"E02000869","F","16-17","WBI",6
"E02000869","F","16-17","WHO",3
"E02000869","F","16-17","MIX",2
"E02000869","F","16-17","BAN",28
"E02000869","F","16-17","BLA",5
"E02000869","F","16-17","OBL",1
"E02000869","F","18-19","WBI",6
"E02000869","F","18-19","WHO",3
"E02000869","F","18-19","MIX",1
"E02000869","F","18-19","BAN",24
"E02000869","F","18-19","CHI",1
"E02000869","F","18-19","OAS",1
"E02000869","F","18-19","BLA",3
"E02000869","F","20-24","WBI",129
"E02000869","F","20-24","WHO",52
"E02000869","F","20-24","MIX",37
"E02000869","F","20-24","IND",4
"E02000869","F","20-24","PAK",1
"E02000869","F","20-24","BAN",76
"E02000869","F","20-24","CHI",5
"E02000869","F","20-24","OAS",7
"E02000869","F","20-24","BLA",14
"E02000869","F","20-24","BLC",2
"E02000869","F","20-24","OTH",2
"E02000869","F","25-29","WBI",182
"E02000869","F","25-29","WHO",113
"E02000869","F","25-29","MIX",22
"E02000869","F","25-29","IND",6
"E02000869","F","25-29","PAK",2
"E02000869","F","25-29","BAN",78
"E02000869","F","25-29","CHI",10
"E02000869","F","25-29","OAS",4
"E02000869","F","25-29","BLA",15
"E02000869","F","25-29","BLC",5
"E02000869","F","25-29","OBL",8
"E02000869","F","25-29","OTH",11
"E02000869","F","30-34","WBI",127
"E02000869","F","30-34","WHO",65
"E02000869","F","30-34","MIX",9
"E02000869","F","30-34","IND",2
"E02000869","F","30-34","PAK",1
"E02000869","F","30-34","BAN",69
"E02000869","F","30-34","CHI",6
"E02000869","F","30-34","OAS",9
"E02000869","F","30-34","BLA",16
"E02000869","F","30-34","BLC",7
"E02000869","F","30-34","OBL",4
"E02000869","F","30-34","OTH",7
"E02000869","F","35-39","WBI",71
"E02000869","F","35-39","WHO",54
"E02000869","F","35-39","MIX",12
"E02000869","F","35-39","IND",2
"E02000869","F","35-39","BAN",60
"E02000869","F","35-39","CHI",3
"E02000869","F","35-39","OAS",6
"E02000869","F","35-39","BLA",15
"E02000869","F","35-39","BLC",3
"E02000869","F","35-39","OBL",1
"E02000869","F","35-39","OTH",9
"E02000869","F","40-44","WBI",75
"E02000869","F","40-44","WHO",22
"E02000869","F","40-44","MIX",5
"E02000869","F","40-44","IND",1
"E02000869","F","40-44","BAN",19
"E02000869","F","40-44","CHI",3
"E02000869","F","40-44","OAS",6
"E02000869","F","40-44","BLA",11
"E02000869","F","40-44","BLC",4
"E02000869","F","40-44","OBL",8
"E02000869","F","40-44","OTH",3
"E02000869","F","45-49","WBI",73
"E02000869","F","45-49","WHO",15
"E02000869","F","45-49","MIX",8
"E02000869","F","45-49","IND",1
"E02000869","F","45-49","BAN",21
"E02000869","F","45-49","CHI",1
"E02000869","F","45-49","OAS",3
"E02000869","F","45-49","BLA",8
"E02000869","F","45-49","BLC",8
"E02000869","F","45-49","OBL",3
"E02000869","F","45-49","OTH",3
"E02000869","F","50-54","WBI",68
"E02000869","F","50-54","WHO",8
"E02000869","F","50-54","MIX",2
"E02000869","F","50-54","PAK",2
"E02000869","F","50-54","BAN",13
"E02000869","F","50-54","CHI",3
"E02000869","F","50-54","OAS",1
"E02000869","F","50-54","BLA",3
"E02000869","F","50-54","BLC",4
"E02000869","F","50-54","OTH",5
"E02000869","F","55-59","WBI",50
"E02000869","F","55-59","WHO",10
"E02000869","F","55-59","MIX",3
"E02000869","F","55-59","IND",2
"E02000869","F","55-59","PAK",1
"E02000869","F","55-59","BAN",18
"E02000869","F","55-59","OAS",2
"E02000869","F","55-59","BLA",7
"E02000869","F","55-59","BLC",3
"E02000869","F","55-59","OTH",5
"E02000869","F","60-64","WBI",54
"E02000869","F","60-64","WHO",4
"E02000869","F","60-64","MIX",1
"E02000869","F","60-64","IND",1
"E02000869","F","60-64","BAN",12
"E02000869","F","60-64","CHI",1
"E02000869","F","60-64","OAS",1
"E02000869","F","60-64","BLA",8
"E02000869","F","60-64","OBL",2
"E02000869","F","60-64","OTH",1
"E02000869","F","65-69","WBI",32
"E02000869","F","65-69","WHO",4
"E02000869","F","65-69","BAN",12
"E02000869","F","65-69","OAS",2
"E02000869","F","65-69","BLA",1
"E02000869","F","65-69","OBL",2
"E02000869","F","70-74","WBI",37
"E02000869","F","70-74","WHO",1
"E02000869","F","70-74","MIX",2
"E02000869","F","70-74","IND",1
"E02000869","F","70-74","BAN",14
"E02000869","F","70-74","CHI",3
"E02000869","F","70-74","OAS",1
"E02000869","F","70-74","BLA",4
"E02000869","F","70-74","BLC",3
"E02000869","F","70-74","OTH",1
"E02000869","F","75-79","WBI",51
"E02000869","F","75-79","WHO",2
"E02000869","F","75-79","BAN",6
"E02000869","F","75-79","BLC",2
"E02000869","F","80-84","WBI",42
"E02000869","F","80-84","WHO",1
"E02000869","F","80-84","BLA",1
"E02000869","F","80-84","BLC",1
"E02000869","F","85+","WBI",36
"E02000869","F","85+","WHO",3
"E02000869","F","85+","BAN",2
"E02000869","F","85+","CHI",1
"E02000869","F","85+","BLA",1
"E02000870","M","0-4","WBI",50
"E02000870","M","0-4","WHO",9
"E02000870","M","0-4","MIX",22
"E02000870","M","0-4","IND",1
"E02000870","M","0-4","PAK",2
"E02000870","M","0-4","BAN",130
"E02000870","M","0-4","OAS",7
"E02000870","M","0-4","BLA",8
"E02000870","M","0-4","BLC",5
"E02000870","M","0-4","OBL",9
"E02000870","M","0-4","OTH",5
"E02000870","M","5-7","WBI",22
"E02000870","M","5-7","WHO",4
"E02000870","M","5-7","MIX",16
"E02000870","M","5-7","IND",1
"E02000870","M","5-7","PAK",2
"E02000870","M","5-7","BAN",88
"E02000870","M","5-7","OAS",2
"E02000870","M","5-7","BLA",11
"E02000870","M","5-7","BLC",1
"E02000870","M","5-7","OBL",3
"E02000870","M","5-7","OTH",3
"E02000870","M","8-9","WBI",11
"E02000870","M","8-9","WHO",1
"E02000870","M","8-9","MIX",2
"E02000870","M","8-9","PAK",1
"E02000870","M","8-9","BAN",49
"E02000870","M","8-9","OAS",1
"E02000870","M","8-9","BLA",3
"E02000870","M","8-9","OBL",2
"E02000870","M","8-9","OTH",1
"E02000870","M","10-14","WBI",40
"E02000870","M","10-14","WHO",5
"E02000870","M","10-14","MIX",7
"E02000870","M","10-14","IND",1
"E02000870","M","10-14","BAN",104
"E02000870","M","10-14","CHI",2
"E02000870","M","10-14","OAS",2
"E02000870","M","10-14","BLA",7
"E02000870","M","10-14","OBL",2
"E02000870","M","10-14","OTH",6
"E02000870","M","15","WBI",5
"E02000870","M","15","WHO",3
"E02000870","M","15","MIX",3
"E02000870","M","15","BAN",25
"E02000870","M","15","OAS",2
"E02000870","M","15","BLA",1
"E02000870","M","15","OBL",1
"E02000870","M","16-17","WBI",25
"E02000870","M","16-17","WHO",3
"E02000870","M","16-17","MIX",3
"E02000870","M","16-17","PAK",1
"E02000870","M","16-17","BAN",31
"E02000870","M","16-17","CHI",2
"E02000870","M","16-17","BLA",3
"E02000870","M","16-17","BLC",3
"E02000870","M","16-17","OTH",2
"E02000870","M","18-19","WBI",15
"E02000870","M","18-19","WHO",2
"E02000870","M","18-19","MIX",6
"E02000870","M","18-19","IND",1
"E02000870","M","18-19","PAK",1
"E02000870","M","18-19","BAN",37
"E02000870","M","18-19","CHI",1
"E02000870","M","18-19","BLA",3
"E02000870","M","18-19","BLC",1
"E02000870","M","18-19","OBL",1
"E02000870","M","20-24","WBI",153
"E02000870","M","20-24","WHO",36
"E02000870","M","20-24","MIX",13
"E02000870","M","20-24","IND",4
"E02000870","M","20-24","PAK",2
"E02000870","M","20-24","BAN",90
"E02000870","M","20-24","CHI",14
"E02000870","M","20-24","OAS",4
"E02000870","M","20-24","BLA",7
"E02000870","M","20-24","BLC",1
"E02000870","M","20-24","OBL",2
"E02000870","M","20-24","OTH",33
"E02000870","M","25-29","WBI",226
"E02000870","M","25-29","WHO",88
"E02000870","M","25-29","MIX",40
"E02000870","M","25-29","IND",10
"E02000870","M","25-29","BAN",50
"E02000870","M","25-29","CHI",8
"E02000870","M","25-29","OAS",11
"E02000870","M","25-29","BLA",8
"E02000870","M","25-29","BLC",6
"E02000870","M","25-29","OBL",1
"E02000870","M","25-29","OTH",15
"E02000870","M","30-34","WBI",140
"E02000870","M","30-34","WHO",78
"E02000870","M","30-34","MIX",16
"E02000870","M","30-34","IND",9
"E02000870","M","30-34","PAK",4
"E02000870","M","30-34","BAN",91
"E02000870","M","30-34","CHI",4
"E02000870","M","30-34","OAS",4
"E02000870","M","30-34","BLA",5
"E02000870","M","30-34","BLC",2
"E02000870","M","30-34","OBL",4
"E02000870","M","30-34","OTH",6
"E02000870","M","35-39","WBI",97
"E02000870","M","35-39","WHO",45
"E02000870","M","35-39","MIX",9
"E02000870","M","35-39","IND",4
"E02000870","M","35-39","PAK",1
"E02000870","M","35-39","BAN",79
"E02000870","M","35-39","CHI",6
"E02000870","M","35-39","OAS",2
"E02000870","M","35-39","BLA",10
"E02000870","M","35-39","BLC",4
"E02000870","M","35-39","OBL",4
"E02000870","M","35-39","OTH",3
"E02000870","M","40-44","WBI",94
"E02000870","M","40-44","WHO",32
"E02000870","M","40-44","MIX",8
"E02000870","M","40-44","IND",3
"E02000870","M","40-44","PAK",2
"E02000870","M","40-44","BAN",71
"E02000870","M","40-44","CHI",2
"E02000870","M","40-44","OAS",2
"E02000870","M","40-44","BLA",6
"E02000870","M","40-44","BLC",4
"E02000870","M","40-44","OBL",2
"E02000870","M","40-44","OTH",4
"E02000870","M","45-49","WBI",114
"E02000870","M","45-49","WHO",14
"E02000870","M","45-49","MIX",3
"E02000870","M","45-49","IND",2
"E02000870","M","45-49","PAK",1
"E02000870","M","45-49","BAN",25
"E02000870","M","45-49","CHI",1
"E02000870","M","45-49","OAS",1
"E02000870","M","45-49","BLA",4
"E02000870","M","45-49","BLC",5
"E02000870","M","45-49","OBL",1
"E02000870","M","45-49","OTH",9
"E02000870","M","50-54","WBI",75
"E02000870","M","50-54","WHO",4
"E02000870","M","50-54","MIX",4
"E02000870","M","50-54","IND",1
"E02000870","M","50-54","PAK",1
"E02000870","M","50-54","BAN",30
"E02000870","M","50-54","OAS",4
"E02000870","M","50-54","BLA",6
"E02000870","M","50-54","BLC",3
"E02000870","M","50-54","OBL",1
"E02000870","M","50-54","OTH",1
"E02000870","M","55-59","WBI",69
"E02000870","M","55-59","WHO",4
"E02000870","M","55-59","MIX",1
"E02000870","M","55-59","BAN",10
"E02000870","M","55-59","CHI",4
"E02000870","M","55-59","BLA",2
"E02000870","M","55-59","BLC",2
"E02000870","M","55-59","OTH",6
"E02000870","M","60-64","WBI",74
"E02000870","M","60-64","WHO",1
"E02000870","M","60-64","MIX",4
"E02000870","M","60-64","BAN",1
"E02000870","M","60-64","OAS",1
"E02000870","M","60-64","BLC",2
"E02000870","M","65-69","WBI",43
"E02000870","M","65-69","WHO",3
"E02000870","M","65-69","MIX",1
"E02000870","M","65-69","IND",1
"E02000870","M","65-69","BAN",5
"E02000870","M","65-69","OAS",1
"E02000870","M","65-69","BLC",3
"E02000870","M","65-69","OBL",4
"E02000870","M","70-74","WBI",47
"E02000870","M","70-74","WHO",2
"E02000870","M","70-74","MIX",1
"E02000870","M","70-74","BAN",12
"E02000870","M","70-74","BLA",1
"E02000870","M","70-74","BLC",1
"E02000870","M","75-79","WBI",27
"E02000870","M","75-79","WHO",1
"E02000870","M","75-79","MIX",1
"E02000870","M","75-79","BAN",10
"E02000870","M","75-79","BLC",3
"E02000870","M","80-84","WBI",39
"E02000870","M","80-84","WHO",1
"E02000870","M","80-84","BAN",8
"E02000870","M","80-84","BLA",2
"E02000870","M","85+","WBI",23
"E02000870","M","85+","WHO",1
"E02000870","M","85+","BAN",2
"E02000870","F","0-4","WBI",39
"E02000870","F","0-4","WHO",2
"E02000870","F","0-4","MIX",12
"E02000870","F","0-4","IND",1
"E02000870","F","0-4","BAN",75
"E02000870","F","0-4","CHI",1
"E02000870","F","0-4","OAS",2
"E02000870","F","0-4","BLA",12
"E02000870","F","0-4","BLC",4
"E02000870","F","0-4","OBL",5
"E02000870","F","0-4","OTH",4
"E02000870","F","5-7","WBI",22
"E02000870","F","5-7","WHO",2
"E02000870","F","5-7","MIX",5
"E02000870","F","5-7","BAN",78
"E02000870","F","5-7","OAS",4
"E02000870","F","5-7","BLA",8
"E02000870","F","5-7","BLC",1
"E02000870","F","5-7","OBL",6
"E02000870","F","5-7","OTH",6
"E02000870","F","8-9","WBI",14
"E02000870","F","8-9","WHO",1
"E02000870","F","8-9","MIX",4
"E02000870","F","8-9","BAN",52
"E02000870","F","8-9","CHI",3
"E02000870","F","8-9","OAS",1
"E02000870","F","8-9","BLA",3
"E02000870","F","8-9","OBL",3
"E02000870","F","8-9","OTH",1
"E02000870","F","10-14","WBI",43
"E02000870","F","10-14","WHO",3
"E02000870","F","10-14","MIX",13
"E02000870","F","10-14","PAK",2
"E02000870","F","10-14","BAN",113
"E02000870","F","10-14","OAS",2
"E02000870","F","10-14","BLA",5
"E02000870","F","10-14","BLC",2
"E02000870","F","10-14","OBL",6
"E02000870","F","10-14","OTH",3
"E02000870","F","15","WBI",16
"E02000870","F","15","WHO",1
"E02000870","F","15","MIX",2
"E02000870","F","15","BAN",16
"E02000870","F","15","OAS",1
"E02000870","F","15","OBL",2
"E02000870","F","16-17","WBI",20
"E02000870","F","16-17","WHO",1
"E02000870","F","16-17","MIX",2
"E02000870","F","16-17","PAK",1
"E02000870","F","16-17","BAN",30
"E02000870","F","16-17","BLA",2
"E02000870","F","16-17","BLC",3
"E02000870","F","16-17","OBL",1
"E02000870","F","16-17","OTH",4
"E02000870","F","18-19","WBI",27
"E02000870","F","18-19","WHO",5
"E02000870","F","18-19","MIX",1
"E02000870","F","18-19","IND",1
"E02000870","F","18-19","PAK",1
"E02000870","F","18-19","BAN",33
"E02000870","F","18-19","CHI",2
"E02000870","F","18-19","OAS",1
"E02000870","F","18-19","BLA",4
"E02000870","F","18-19","BLC",1
"E02000870","F","18-19","OBL",2
"E02000870","F","18-19","OTH",4
"E02000870","F","20-24","WBI",173
"E02000870","F","20-24","WHO",58
"E02000870","F","20-24","MIX",18
"E02000870","F","20-24","IND",7
"E02000870","F","20-24","PAK",8
"E02000870","F","20-24","BAN",81
"E02000870","F","20-24","CHI",11
"E02000870","F","20-24","OAS",7
"E02000870","F","20-24","BLA",6
"E02000870","F","20-24","BLC",7
"E02000870","F","20-24","OBL",2
"E02000870","F","20-24","OTH",10
"E02000870","F","25-29","WBI",231
"E02000870","F","25-29","WHO",113
"E02000870","F","25-29","MIX",26
"E02000870","F","25-29","IND",6
"E02000870","F","25-29","PAK",6
"E02000870","F","25-29","BAN",97
"E02000870","F","25-29","CHI",10
"E02000870","F","25-29","OAS",8
"E02000870","F","25-29","BLA",12
"E02000870","F","25-29","BLC",2
"E02000870","F","25-29","OBL",3
"E02000870","F","25-29","OTH",18
"E02000870","F","30-34","WBI",99
"E02000870","F","30-34","WHO",73
"E02000870","F","30-34","MIX",19
"E02000870","F","30-34","IND",10
"E02000870","F","30-34","PAK",2
"E02000870","F","30-34","BAN",90
"E02000870","F","30-34","CHI",6
"E02000870","F","30-34","OAS",12
"E02000870","F","30-34","BLA",14
"E02000870","F","30-34","BLC",3
"E02000870","F","30-34","OBL",5
"E02000870","F","30-34","OTH",11
"E02000870","F","35-39","WBI",90
"E02000870","F","35-39","WHO",45
"E02000870","F","35-39","MIX",6
"E02000870","F","35-39","IND",3
"E02000870","F","35-39","BAN",73
"E02000870","F","35-39","CHI",2
"E02000870","F","35-39","OAS",7
"E02000870","F","35-39","BLA",14
"E02000870","F","35-39","BLC",6
"E02000870","F","35-39","OBL",4
"E02000870","F","35-39","OTH",3
"E02000870","F","40-44","WBI",91
"E02000870","F","40-44","WHO",21
"E02000870","F","40-44","MIX",3
"E02000870","F","40-44","IND",3
"E02000870","F","40-44","BAN",53
"E02000870","F","40-44","CHI",1
"E02000870","F","40-44","OAS",6
"E02000870","F","40-44","BLA",6
"E02000870","F","40-44","BLC",1
"E02000870","F","40-44","OBL",6
"E02000870","F","40-44","OTH",8
"E02000870","F","45-49","WBI",88
"E02000870","F","45-49","WHO",9
"E02000870","F","45-49","MIX",7
"E02000870","F","45-49","IND",2
"E02000870","F","45-49","BAN",21
"E02000870","F","45-49","CHI",2
"E02000870","F","45-49","OAS",4
"E02000870","F","45-49","BLA",10
"E02000870","F","45-49","BLC",7
"E02000870","F","45-49","OBL",2
"E02000870","F","45-49","OTH",5
"E02000870","F","50-54","WBI",92
"E02000870","F","50-54","WHO",12
"E02000870","F","50-54","MIX",2
"E02000870","F","50-54","IND",1
"E02000870","F","50-54","BAN",16
"E02000870","F","50-54","CHI",2
"E02000870","F","50-54","OAS",4
"E02000870","F","50-54","BLA",7
"E02000870","F","50-54","BLC",6
"E02000870","F","50-54","OBL",1
"E02000870","F","50-54","OTH",3
"E02000870","F","55-59","WBI",68
"E02000870","F","55-59","WHO",4
"E02000870","F","55-59","MIX",2
"E02000870","F","55-59","IND",3
"E02000870","F","55-59","BAN",16
"E02000870","F","55-59","CHI",1
"E02000870","F","55-59","BLA",2
"E02000870","F","55-59","BLC",5
"E02000870","F","55-59","OBL",2
"E02000870","F","55-59","OTH",3
"E02000870","F","60-64","WBI",65
"E02000870","F","60-64","WHO",6
"E02000870","F","60-64","BAN",13
"E02000870","F","60-64","OAS",2
"E02000870","F","65-69","WBI",36
"E02000870","F","65-69","WHO",1
"E02000870","F","65-69","MIX",1
"E02000870","F","65-69","BAN",4
"E02000870","F","65-69","OBL",2
"E02000870","F","65-69","OTH",1
"E02000870","F","70-74","WBI",50
"E02000870","F","70-74","WHO",2
"E02000870","F","70-74","IND",1
"E02000870","F","70-74","BAN",8
"E02000870","F","70-74","BLA",2
"E02000870","F","70-74","BLC",2
"E02000870","F","75-79","WBI",51
"E02000870","F","75-79","WHO",3
"E02000870","F","75-79","BAN",5
"E02000870","F","75-79","BLA",1
"E02000870","F","75-79","BLC",2
"E02000870","F","80-84","WBI",51
"E02000870","F","80-84","WHO",1
"E02000870","F","80-84","BAN",2
"E02000870","F","80-84","BLA",1
"E02000870","F","80-84","BLC",2
"E02000870","F","80-84","OTH",1
"E02000870","F","85+","WBI",44
"E02000870","F","85+","BLA",2
"E02000870","F","85+","OBL",1
"E02000871","M","0-4","WBI",27
"E02000871","M","0-4","WHO",14
"E02000871","M","0-4","MIX",48
"E02000871","M","0-4","IND",9
"E02000871","M","0-4","PAK",6
"E02000871","M","0-4","BAN",229
"E02000871","M","0-4","CHI",3
"E02000871","M","0-4","OAS",6
"E02000871","M","0-4","BLA",30
"E02000871","M","0-4","BLC",2
"E02000871","M","0-4","OBL",22
"E02000871","M","0-4","OTH",6
"E02000871","M","5-7","WBI",23
"E02000871","M","5-7","WHO",3
"E02000871","M","5-7","MIX",11
"E02000871","M","5-7","IND",2
"E02000871","M","5-7","PAK",2
"E02000871","M","5-7","BAN",148
"E02000871","M","5-7","OAS",3
"E02000871","M","5-7","BLA",13
"E02000871","M","5-7","BLC",1
"E02000871","M","5-7","OBL",8
"E02000871","M","5-7","OTH",3
"E02000871","M","8-9","WBI",4
"E02000871","M","8-9","WHO",1
"E02000871","M","8-9","MIX",4
"E02000871","M","8-9","IND",1
"E02000871","M","8-9","PAK",1
"E02000871","M","8-9","BAN",75
"E02000871","M","8-9","CHI",2
"E02000871","M","8-9","OAS",3
"E02000871","M","8-9","BLA",5
"E02000871","M","8-9","BLC",4
"E02000871","M","8-9","OBL",7
"E02000871","M","8-9","OTH",8
"E02000871","M","10-14","WBI",44
"E02000871","M","10-14","WHO",5
"E02000871","M","10-14","MIX",17
"E02000871","M","10-14","IND",2
"E02000871","M","10-14","PAK",2
"E02000871","M","10-14","BAN",206
"E02000871","M","10-14","CHI",2
"E02000871","M","10-14","OAS",3
"E02000871","M","10-14","BLA",22
"E02000871","M","10-14","BLC",3
"E02000871","M","10-14","OBL",10
"E02000871","M","10-14","OTH",4
"E02000871","M","15","WBI",3
"E02000871","M","15","WHO",3
"E02000871","M","15","MIX",4
"E02000871","M","15","BAN",41
"E02000871","M","15","CHI",1
"E02000871","M","15","BLA",4
"E02000871","M","15","OBL",2
"E02000871","M","15","OTH",3
"E02000871","M","16-17","WBI",13
"E02000871","M","16-17","MIX",6
"E02000871","M","16-17","PAK",1
"E02000871","M","16-17","BAN",75
"E02000871","M","16-17","CHI",2
"E02000871","M","16-17","OAS",3
"E02000871","M","16-17","BLA",7
"E02000871","M","16-17","BLC",2
"E02000871","M","16-17","OBL",5
"E02000871","M","16-17","OTH",3
"E02000871","M","18-19","WBI",17
"E02000871","M","18-19","WHO",8
"E02000871","M","18-19","MIX",1
"E02000871","M","18-19","IND",2
"E02000871","M","18-19","PAK",3
"E02000871","M","18-19","BAN",70
"E02000871","M","18-19","OAS",2
"E02000871","M","18-19","BLA",7
"E02000871","M","18-19","BLC",1
"E02000871","M","18-19","OBL",4
"E02000871","M","18-19","OTH",4
"E02000871","M","20-24","WBI",92
"E02000871","M","20-24","WHO",48
"E02000871","M","20-24","MIX",11
"E02000871","M","20-24","IND",17
"E02000871","M","20-24","PAK",9
"E02000871","M","20-24","BAN",215
"E02000871","M","20-24","CHI",27
"E02000871","M","20-24","OAS",14
"E02000871","M","20-24","BLA",18
"E02000871","M","20-24","BLC",13
"E02000871","M","20-24","OBL",14
"E02000871","M","20-24","OTH",11
"E02000871","M","25-29","WBI",124
"E02000871","M","25-29","WHO",67
"E02000871","M","25-29","MIX",10
"E02000871","M","25-29","IND",25
"E02000871","M","25-29","PAK",7
"E02000871","M","25-29","BAN",224
"E02000871","M","25-29","CHI",26
"E02000871","M","25-29","OAS",12
"E02000871","M","25-29","BLA",22
"E02000871","M","25-29","BLC",16
"E02000871","M","25-29","OBL",6
"E02000871","M","25-29","OTH",28
"E02000871","M","30-34","WBI",87
"E02000871","M","30-34","WHO",72
"E02000871","M","30-34","MIX",15
"E02000871","M","30-34","IND",19
"E02000871","M","30-34","PAK",4
"E02000871","M","30-34","BAN",206
"E02000871","M","30-34","CHI",12
"E02000871","M","30-34","OAS",12
"E02000871","M","30-34","BLA",26
"E02000871","M","30-34","BLC",7
"E02000871","M","30-34","OBL",16
"E02000871","M","30-34","OTH",16
"E02000871","M","35-39","WBI",68
"E02000871","M","35-39","WHO",36
"E02000871","M","35-39","MIX",13
"E02000871","M","35-39","IND",5
"E02000871","M","35-39","PAK",2
"E02000871","M","35-39","BAN",179
"E02000871","M","35-39","CHI",6
"E02000871","M","35-39","OAS",15
"E02000871","M","35-39","BLA",15
"E02000871","M","35-39","BLC",17
"E02000871","M","35-39","OBL",4
"E02000871","M","35-39","OTH",10
"E02000871","M","40-44","WBI",74
"E02000871","M","40-44","WHO",24
"E02000871","M","40-44","MIX",4
"E02000871","M","40-44","IND",4
"E02000871","M","40-44","PAK",2
"E02000871","M","40-44","BAN",128
"E02000871","M","40-44","CHI",2
"E02000871","M","40-44","OAS",2
"E02000871","M","40-44","BLA",26
"E02000871","M","40-44","BLC",13
"E02000871","M","40-44","OBL",12
"E02000871","M","40-44","OTH",16
"E02000871","M","45-49","WBI",62
"E02000871","M","45-49","WHO",11
"E02000871","M","45-49","MIX",16
"E02000871","M","45-49","IND",1
"E02000871","M","45-49","PAK",1
"E02000871","M","45-49","BAN",72
"E02000871","M","45-49","CHI",5
"E02000871","M","45-49","OAS",2
"E02000871","M","45-49","BLA",13
"E02000871","M","45-49","BLC",20
"E02000871","M","45-49","OBL",8
"E02000871","M","45-49","OTH",10
"E02000871","M","50-54","WBI",70
"E02000871","M","50-54","WHO",6
"E02000871","M","50-54","MIX",1
"E02000871","M","50-54","IND",3
"E02000871","M","50-54","PAK",3
"E02000871","M","50-54","BAN",51
"E02000871","M","50-54","CHI",6
"E02000871","M","50-54","OAS",1
"E02000871","M","50-54","BLA",7
"E02000871","M","50-54","BLC",9
"E02000871","M","50-54","OBL",6
"E02000871","M","50-54","OTH",4
"E02000871","M","55-59","WBI",44
"E02000871","M","55-59","WHO",4
"E02000871","M","55-59","MIX",4
"E02000871","M","55-59","IND",1
"E02000871","M","55-59","PAK",1
"E02000871","M","55-59","BAN",27
"E02000871","M","55-59","CHI",3
"E02000871","M","55-59","OAS",1
"E02000871","M","55-59","BLA",10
"E02000871","M","55-59","BLC",10
"E02000871","M","55-59","OTH",3
"E02000871","M","60-64","WBI",42
"E02000871","M","60-64","WHO",4
"E02000871","M","60-64","IND",1
"E02000871","M","60-64","BAN",11
"E02000871","M","60-64","CHI",1
"E02000871","M","60-64","OAS",2
"E02000871","M","60-64","BLA",5
"E02000871","M","60-64","BLC",2
"E02000871","M","60-64","OBL",1
"E02000871","M","60-64","OTH",1
"E02000871","M","65-69","WBI",31
"E02000871","M","65-69","WHO",2
"E02000871","M","65-69","MIX",1
"E02000871","M","65-69","BAN",8
"E02000871","M","65-69","CHI",2
"E02000871","M","65-69","BLA",2
"E02000871","M","65-69","BLC",2
"E02000871","M","65-69","OTH",2
"E02000871","M","70-74","WBI",21
"E02000871","M","70-74","WHO",2
"E02000871","M","70-74","MIX",4
"E02000871","M","70-74","IND",1
"E02000871","M","70-74","BAN",27
"E02000871","M","70-74","CHI",4
"E02000871","M","70-74","BLA",5
"E02000871","M","70-74","BLC",7
"E02000871","M","70-74","OBL",2
"E02000871","M","70-74","OTH",1
"E02000871","M","75-79","WBI",25
"E02000871","M","75-79","WHO",2
"E02000871","M","75-79","MIX",1
"E02000871","M","75-79","IND",1
"E02000871","M","75-79","BAN",24
"E02000871","M","75-79","BLA",1
"E02000871","M","75-79","BLC",9
"E02000871","M","75-79","OBL",3
"E02000871","M","75-79","OTH",2
"E02000871","M","80-84","WBI",14
"E02000871","M","80-84","IND",2
"E02000871","M","80-84","BAN",12
"E02000871","M","85+","WBI",7
"E02000871","M","85+","WHO",1
"E02000871","M","85+","MIX",2
"E02000871","M","85+","BAN",4
"E02000871","M","85+","BLC",1
"E02000871","M","85+","OBL",2
"E02000871","F","0-4","WBI",47
"E02000871","F","0-4","WHO",22
"E02000871","F","0-4","MIX",32
"E02000871","F","0-4","IND",1
"E02000871","F","0-4","PAK",6
"E02000871","F","0-4","BAN",223
"E02000871","F","0-4","CHI",6
"E02000871","F","0-4","OAS",3
"E02000871","F","0-4","BLA",37
"E02000871","F","0-4","BLC",12
"E02000871","F","0-4","OBL",12
"E02000871","F","0-4","OTH",10
"E02000871","F","5-7","WBI",21
"E02000871","F","5-7","WHO",6
"E02000871","F","5-7","MIX",19
"E02000871","F","5-7","IND",2
"E02000871","F","5-7","PAK",2
"E02000871","F","5-7","BAN",146
"E02000871","F","5-7","CHI",1
"E02000871","F","5-7","BLA",10
"E02000871","F","5-7","BLC",4
"E02000871","F","5-7","OBL",11
"E02000871","F","5-7","OTH",5
"E02000871","F","8-9","WBI",10
"E02000871","F","8-9","WHO",10
"E02000871","F","8-9","MIX",5
"E02000871","F","8-9","IND",2
"E02000871","F","8-9","PAK",1
"E02000871","F","8-9","BAN",94
"E02000871","F","8-9","OAS",5
"E02000871","F","8-9","BLA",6
"E02000871","F","8-9","BLC",3
"E02000871","F","8-9","OBL",3
"E02000871","F","8-9","OTH",1
"E02000871","F","10-14","WBI",30
"E02000871","F","10-14","WHO",10
"E02000871","F","10-14","MIX",19
"E02000871","F","10-14","IND",2
"E02000871","F","10-14","PAK",2
"E02000871","F","10-14","BAN",176
"E02000871","F","10-14","CHI",2
"E02000871","F","10-14","OAS",1
"E02000871","F","10-14","BLA",24
"E02000871","F","10-14","BLC",4
"E02000871","F","10-14","OBL",9
"E02000871","F","10-14","OTH",7
"E02000871","F","15","WBI",5
"E02000871","F","15","MIX",3
